nse_symbol,yahoo_symbol,company_name,yahoo_sector,sector_index_name,sector_index_symbol
BAGFILMS,BAGFILMS.NS,B.A.G. Films and Media Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
BAIDFIN,BAIDFIN.NS,Baid Finserv Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BAJAJ-AUTO,BAJAJ-AUTO.NS,Bajaj Auto Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BAJAJCON,BAJAJCON.NS,Bajaj Consumer Care Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
BAJAJELEC,BAJAJELEC.NS,Bajaj Electricals Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BAJAJFINSV,BAJAJFINSV.NS,Bajaj Finserv Ltd.,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BAJAJHCARE,BAJAJHCARE.NS,Bajaj HealthCare Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
BAJAJHFL,BAJAJHFL.NS,BAJAJHFL,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BAJAJHIND,BAJAJHIND.NS,Bajaj Hindusthan Sugar Limited,Consumer Defensive,NIFTY FMCG,^CNXFMCG
BAJAJHLDNG,BAJAJHLDNG.NS,Bajaj Holdings & Investment Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BAJAJINDEF,BAJAJINDEF.NS,BAJAJINDEF,Industrials,NIFTY INFRA,^CNXINFRA
BAJEL,BAJEL.NS,Bajel Projects Limited,Utilities,NIFTY PSU BANK,^CNXPSUBANK
BAJFINANCE,BAJFINANCE.NS,Bajaj Finance Limited,Financial Services,NIFTY FIN SERVICE,^CNXFIN
BALAJEE,BALAJEE.NS,BALAJEE,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BALAJITELE,BALAJITELE.NS,Balaji Telefilms Limited,Communication Services,NIFTY MEDIA,^CNXMEDIA
BALAMINES,BALAMINES.NS,Balaji Amines Limited,Basic Materials,NIFTY METAL,^CNXMETAL
BALAXI,BALAXI.NS,Balaxi Pharmaceuticals Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
BALKRISHNA,BALKRISHNA.NS,Balkrishna Paper Mills Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BALKRISIND,BALKRISIND.NS,Balkrishna Industries Limited,Consumer Cyclical,NIFTY AUTO,^CNXAUTO
BALMLAWRIE,BALMLAWRIE.NS,Balmer Lawrie & Co. Ltd.,Industrials,NIFTY INFRA,^CNXINFRA
BALPHARMA,BALPHARMA.NS,Bal Pharma Limited,Healthcare,NIFTY PHARMA,^CNXPHARMA
